Feature,Importance
Over_Capacity,0.5894165807321138
Rolling_7_Day_Occupancy_Mean,0.07751158540821412
Rolling_7_Day_Occupancy_Std,0.05596367066054195
Total_Hospital_Beds,0.04124822791455477
Lag_1_Day_Occupancy,0.02344681009016494
Lag_7_Day_Occupancy,0.011572530023448801
Lag_30_Day_Occupancy,0.011571078264053883
Rolling_7_Day_Admissions_Std,0.009987505359255156
Rolling_30_Day_Occupancy_Std,0.009694833033082313
Rolling_30_Day_Occupancy_Mean,0.009562826123772633
ICU_Admission_Ratio,0.009540819182165533
Lag_30_Day_Admissions,0.00945827714010039
Rolling_7_Day_Admissions_Mean,0.008718902158759435
Rolling_30_Day_Admissions_Mean,0.008670737063845175
Staff_Per_Bed_Ratio,0.008357261754692499
Emergency_Admission_Ratio,0.008263188089093326
Admissions_LOS_Interaction,0.008083639327686194
Day,0.007898702276380504
Lag_1_Day_Admissions,0.007871589197242021
Daily_Discharges,0.007647146773577819
